75707,276889,234061,22338
51712,207991,207008,30696
49937,204476,197531,21405
50268,200404,193064,20987
49137,203873,209388,23712
50220,207392,204006,20895
50446,216471,268972,22800
53450,239438,211626,28494
50401,203355,202724,22590
63656,217783,216620,22082
50924,208075,205038,24954
50085,205217,208082,24492
50750,209998,202962,24235
49751,206735,207564,23679
50816,212247,203833,19414
50810,201445,208936,21387
49369,208244,203950,21102
52430,197364,203158,21066
49465,209814,204658,20695
49445,210992,210358,22112
53655,214321,213910,23901
51955,212767,212380,23170
52801,216691,318120,24501
52490,244183,212314,23926
50769,219286,205068,26559
50111,212459,212014,21533
60704,217793,216153,20475
52703,216016,214776,23735
52083,215743,213655,24972
61733,365286,291167,24485
76409,259456,259483,27499
54847,221233,212876,23481
52884,212893,207033,22153
50845,200310,224717,31789
51796,220770,202453,21101
51002,208982,205640,25203
73110,214535,204811,23737
51275,203537,205040,24298
48875,214344,205706,24928
49845,203793,200149,19687
50042,212540,203949,20780
49749,200771,200698,20771
48814,215106,228185,20700
51873,204793,204506,22539
52735,315274,253497,21988
53255,228398,222015,24142
53016,219124,223709,22756
52916,225481,216710,21826
53361,216520,223014,23510
57272,233858,232645,26981
55185,236764,227832,26591
56568,230084,232994,29340
55773,231005,226353,23099
56092,232069,227252,23621
56041,228253,227096,23849
55362,227573,226160,26099
54538,237850,234385,21736
56591,244943,229958,21407
54852,386628,280292,26827
59058,237799,229180,24637
57302,245319,233778,24877
57283,234973,239527,21836
53515,222971,216243,21974
119047,231020,217127,30298
53627,224682,212516,21716
52654,216645,336192,22602
56101,238319,223006,22535
52756,218843,217195,23134
53901,213305,214057,34016
53016,223986,215355,24251
51781,225841,445777,26624
55185,240768,221353,20717
54119,226587,229476,22030
52821,220770,215989,21879
53878,219766,213652,21869
53472,223363,216817,22546
53187,221467,221300,21619
53172,216885,291265,23995
53029,227962,215525,21635
52198,219447,204546,21047
50708,206550,202134,21259
49156,208653,202019,23059
51091,206630,199896,114491
53933,245660,213733,27264
51305,220395,212230,21217
50085,208345,204881,20793
50791,214098,216093,24050
48819,209263,207736,22799
50101,213531,206017,23372
51157,214380,204737,23696
50572,209410,204413,22264
51322,201823,199047,22262
49903,207383,203360,20270
49153,202021,200441,26428
50759,204193,211710,20639
49022,205074,200157,20115
49138,204994,202871,22346
51159,204055,231660,107415
68024,378715,278927,21472
49313,218904,199249,23697
47890,199094,192901,22557
47226,196506,204851,22576
47157,191155,190414,18561
48199,193582,191599,19856
46735,189800,194755,20056
48475,197319,236824,19619
47620,198697,193062,20796
48355,195607,191403,19934
47198,188804,190688,21117
46894,307049,211602,20085
48737,199528,194442,19427
47491,191950,191305,20053
47819,200720,191307,21682
47353,189270,190405,22996
47748,272811,207634,24885
48946,201530,195251,19446
46070,195233,190986,18582
47385,194941,199534,21547
48301,191779,193596,21702
47048,198446,191568,21214
48133,189721,190456,20576
46366,198798,192355,19563
49445,188864,193231,23592
45067,191575,182305,19175
44986,180795,182057,18068
46073,179359,178896,19994
44877,187903,181973,19013
45979,190011,183243,27487
45885,181614,184576,22224
45526,183566,180675,21934
