41817,19412
36671,13934
32605,22883
34905,19447
33166,12157
34354,11213
34422,15425
33573,13623
34172,20037
32833,12569
32668,19835
32396,15588
32080,12161
32874,18744
32673,11470
32668,19049
31092,15736
30982,12318
32318,16942
32360,16686
32641,16189
31686,12784
31089,12366
30978,14767
32788,14680
32614,12311
32667,14480
41431,13620
33464,22971
32317,11460
32849,11096
32467,16609
32708,19393
32978,15290
32319,18571
31461,18940
31801,18050
31266,14316
31316,13642
31064,18129
31445,14055
31526,14538
33858,14418
32704,14009
31493,14313
32201,17987
31154,19129
31029,18164
31580,17874
31727,17823
32147,14119
30231,17816
29863,13489
30180,15159
30207,15240
30054,11357
30299,14650
30522,14666
31698,14296
31239,14361
39115,14032
57599,13984
31482,13995
30480,13951
30785,15322
32009,14629
31879,14521
31090,15979
32512,19049
42367,14544
36582,21705
33948,19660
58003,19905
33454,18557
32283,13761
30625,14814
38866,16672
33410,20485
33481,14605
32681,14523
32969,14367
32365,14256
33472,15106
33176,26952
33323,13724
33847,15695
32787,15587
32112,12114
31360,11944
33331,12207
31933,11700
32114,15619
32037,14012
31059,14428
31126,17163
31063,16262
31966,19692
31532,17106
32070,18829
36985,15888
31193,11014
31298,18040
31773,12854
31768,12721
32058,13646
31274,13074
31122,12427
31449,18203
31159,17980
31660,17609
32076,14193
32437,14641
31490,15414
31539,14541
31828,17962
31344,11714
31397,11818
31727,11892
31325,11454
31185,11852
31419,11607
31893,11680
30809,11972
31532,11679
31657,18235
32998,18342
31705,28245
32059,18456
31952,14615
31788,10930
31460,15338
30754,12367
30570,16812
30584,16091
30395,15893
29869,18356
30617,16939
30440,16610
30179,14810
30204,16474
30078,11570
30102,12923
30120,12134
32292,12521
29850,12295
30940,13863
32605,17137
33033,13200
31471,17319
31898,12703
32324,12734
36057,12662
36725,13883
30758,13219
30551,18226
30101,14391
30093,16756
29986,15567
31544,15258
31190,18212
30184,17206
30372,15463
30559,15063
30738,11043
30628,17786
30603,17309
30343,17438
30050,17161
30770,17935
31222,17239
30188,17380
29962,17846
29985,10506
30055,10313
30732,13575
30078,12738
30177,11226
30486,17648
31805,17121
29799,15125
30117,17836
29730,12094
31501,17226
30101,10873
30231,14360
30567,17774
31076,11920
30483,14627
49724,22569
38256,18868
32463,12998
30763,14541
31465,14503
30434,13686
31347,13892
31082,13842
29669,13739
30879,13684
30081,14034
30045,16615
30349,13972
30401,15233
32157,12496
30426,17671
29991,11547
30916,15716
37667,14408
31333,13963
30673,13915
29949,14165
31599,17735
31073,14235
30476,13948
29763,14082
29835,13896
31027,14253
30142,14039
30655,14069
30652,13453
29672,10848
32619,16675
31354,14157
30055,15578
30085,15522
30668,19000
32164,16990
30688,15337
30626,15902
30687,11527
31851,18013
30452,17231
30101,17627
30807,16156
30379,17688
29955,17708
31066,17507
30036,13839
30259,17625
30734,15190
30169,14570
30692,14761
31020,14075
34413,17919
30709,14263
29845,13451
30249,13652
29958,13654
